level1,neighbors
A6735-41-004,"A6735-39-011,A6735-41-007,A6735-41-002,"
A6735-41-003,"A6735-40-003,A6735-41-005,A6735-41-002,A6735-40-004,"
A6735-41-002,"A6735-41-007,A6735-41-005,A6735-41-004,A6735-41-003,A6735-41-001,A6735-40-004,A6735-39-011,"
A6735-41-001,"A6735-39-011,A6735-41-002,A6735-40-004,"
A6714-08-003,
A6718-10-010,"A6718-15-001,A6718-10-009,A6718-08-009,"
A6733-17-006,"A6733-17-001,A6733-17-002,A6733-17-003,A6733-13-008,A6733-17-008,A6733-21-002,A6733-21-001,"
A6735-41-009,"A6735-45-002,A6735-40-009,A6735-41-008,"
A6701-07-009,
A6704-05-007,"A6704-05-005,A6704-05-004,A6704-05-009,"
A6704-05-006,"A6704-05-005,A6704-05-008,"
A6704-05-005,"A6704-05-007,A6704-05-006,A6704-05-009,A6704-05-008,"
A6704-05-004,"A6704-05-007,A6704-05-001,"
A6704-05-001,"A6704-05-004,A6704-07-002,"
A6732-18-011,"A6732-19-009,A6732-29-001,A6732-22-009,A6732-22-006,A6732-18-010,"
A6707-07-009,"A6707-11-001,A6707-07-010,"
A6704-05-009,"A6704-05-007,A6704-08-011,A6704-05-005,"
A6704-05-008,"A6704-05-006,A6704-05-005,"
A6728-16-003,"A6728-16-004,A6728-13-006,A6728-16-006,A6728-16-001,A6728-16-002,"
A6719-07-006,
A6719-07-001,
A6727-17-006,"A6727-17-005,A6727-11-009,A6727-15-010,A6727-16-009,"
A6735-31-010,"A6735-31-006,A6735-42-005,A6735-42-006,A6735-42-007,A6735-31-009,"
A6732-21-001,"A6732-21-002,A6732-21-003,A6732-10-008,"
A6736-07-004,"A6736-10-001,A6736-10-003,A6736-07-001,A6736-07-002,"
A6736-07-005,"A6736-07-006,A6736-10-003,A6736-07-002,A6736-07-003,"
A6736-07-006,"A6736-07-005,A6736-07-007,A6736-09-002,"
A6736-07-007,"A6736-09-006,A6736-13-001,A6736-07-006,"
A6736-07-001,"A6736-07-004,A6736-10-001,A6736-07-002,"
A6736-07-002,"A6736-07-004,A6736-07-005,A6736-10-003,A6736-07-001,"
A6736-07-003,"A6736-07-005,A6736-09-002,"
A6736-04-004,"A6737-07-010,A6736-04-005,"
A6734-07-007,"A6734-07-009,A6734-07-004,A6734-16-002,A6734-17-001,A6734-16-005,A6734-08-004,"
A6732-21-004,"A6737-23-009,A6732-21-002,A6732-21-005,A6732-21-006,A6732-21-007,"
A6733-44-006,"A6733-43-011,A6733-43-009,"
A6732-21-005,"A6732-21-008,A6732-21-003,A6732-21-004,A6732-25-003,"
A6735-20-010,"A6735-20-009,A6735-38-004,"
A6736-04-001,"A6736-04-006,A6736-04-003,A6736-04-002,A6736-03-008,A6737-05-007,A6736-03-005,"
A6732-24-010,"A6732-24-008,A6732-34-004,"
A6732-24-011,"A6732-24-009,"
A6710-06-001,
A6735-21-010,"A6735-38-003,A6735-21-007,A6735-21-006,"
A6721-02-001,"A6721-04-006,A6721-02-003,"
A6705-08-007,"A6706-02-005,"
A6731-22-010,"A6731-28-006,A6731-33-009,A6731-32-009,A6731-22-008,A6731-36-001,A6731-38-006,A6731-37-002,A6731-41-008,A6731-32-006,A6731-40-006,A6731-40-004,A6731-41-006,"
A6732-09-002,"A6732-09-003,A6732-11-003,A6732-09-001,A6732-09-005,"
A6732-09-003,"A6732-09-002,A6732-09-006,A6732-09-004,A6732-09-005,A6732-11-003,A6732-11-004,"
A6732-09-001,"A6732-09-002,A6732-11-001,A6732-06-008,A6732-09-005,"
