area,week,male,female,delay(avg),young,middle,old,total,neighbor-total,result_label
A6736-16,39,0,1,6.0,0,1,0,1,29,x
A6736-16,40,0,1,10.0,0,0,1,1,23,x
A6736-16,41,1,0,2.0,0,1,0,1,19,x
A6736-16,42,1,0,2.0,0,0,1,1,15,x
A6736-16,45,0,3,2.6666666666666665,2,1,0,3,5,x
A6736-16,46,1,0,9.0,0,1,0,1,3,x
A6736-15,35,1,1,1.5,0,1,0,2,15,x
A6736-15,36,4,4,3.0,1,6,1,8,29,x
A6736-15,37,3,3,2.3333333333333335,1,2,2,6,39,x
A6736-15,38,2,2,3.5,0,4,0,4,44,x
A6736-15,39,5,1,2.5,0,6,0,6,29,x
A6736-15,40,0,2,1.0,1,1,0,2,21,x
A6736-15,41,3,1,4.75,0,4,0,4,17,x
A6736-15,42,1,1,3.0,1,0,1,2,10,x
A6736-15,43,1,0,1.0,0,1,0,1,7,x
A6736-15,44,1,3,2.0,0,4,0,4,6,x
A6736-15,45,0,1,1.0,0,1,0,1,4,x
A6736-15,30,1,0,4.0,0,1,0,1,0,x
A6736-14,34,1,0,5.0,0,1,0,1,5,x
A6736-14,35,1,0,3.0,0,1,0,1,5,x
A6736-14,36,2,0,2.5,0,2,0,2,20,x
A6736-14,37,1,0,2.0,1,0,0,1,19,x
A6736-14,38,1,3,1.75,2,2,0,4,25,x
A6736-14,39,5,1,3.8333333333333335,0,4,1,6,28,x
A6736-14,40,1,1,0.5,0,2,0,2,13,x
A6736-14,41,1,0,0.0,0,0,1,1,14,x
A6736-14,42,3,1,5.25,0,2,1,4,7,x
A6736-14,43,1,0,2.0,0,1,0,1,9,x
A6736-14,45,1,0,1.0,0,1,0,1,4,x
A6736-19,34,1,0,3.0,0,1,0,1,3,x
A6736-19,35,2,0,3.5,0,2,0,2,4,x
A6736-19,36,2,4,2.8333333333333335,0,6,0,6,13,x
A6736-19,37,1,1,3.0,0,1,1,2,12,x
A6736-19,38,1,2,2.6666666666666665,0,3,0,3,18,x
A6736-19,39,3,4,1.8571428571428572,1,6,0,7,18,x
A6736-19,40,1,0,2.0,1,0,0,1,7,x
A6736-19,41,0,4,2.25,2,2,0,4,9,x
A6736-19,42,0,1,2.0,0,1,0,1,6,x
A6736-19,43,1,1,3.0,1,1,0,2,5,x
A6736-18,32,1,0,1.0,0,1,0,1,0,x
A6736-18,33,1,0,4.0,0,1,0,1,1,x
A6736-18,34,1,1,3.5,0,1,1,2,8,x
A6736-18,35,2,0,2.5,0,1,1,2,11,x
A6736-18,36,4,0,4.25,0,4,0,4,33,x
A6736-18,37,1,3,7.75,0,2,2,4,32,x
A6736-18,38,1,5,4.666666666666667,1,4,0,6,39,x
A6736-18,39,3,1,2.5,0,4,0,4,44,x
A6736-18,40,1,1,4.5,1,1,0,2,18,x
A6736-18,41,2,3,1.6,1,3,1,5,19,x
A6736-18,43,1,1,2.0,0,1,1,2,10,x
A6736-18,44,1,1,2.5,0,1,1,2,12,x
A6736-18,31,1,0,3.0,0,1,0,1,0,x
A6723-06,37,0,1,4.0,0,1,0,1,0,x
A6723-06,41,0,2,1.0,0,0,2,2,1,x
A6723-06,42,1,1,0.5,0,1,1,2,0,x
A6723-06,43,3,2,1.4,0,2,3,5,10,x
A6723-06,44,7,6,2.6153846153846154,0,6,6,13,7,x
A6723-06,45,3,5,2.875,0,5,3,8,1,x
A6723-06,46,3,1,4.25,1,1,2,4,1,x
A6723-06,47,1,0,3.0,0,0,1,1,0,x
A6732-59,36,1,1,3.0,0,1,1,2,6,x
A6732-59,37,0,1,4.0,0,1,0,1,10,x
A6732-59,38,1,1,1.5,0,1,0,2,16,x
A6732-59,40,1,0,8.0,0,1,0,1,14,x
A6732-59,41,0,1,1.0,0,0,1,1,9,x
A6732-59,43,0,1,3.0,0,1,0,1,8,x
A6732-59,46,1,0,4.0,1,0,0,1,4,x
A6732-59,48,1,0,7.0,0,1,0,1,2,x
A6723-07,35,1,0,3.0,0,0,1,1,0,x
A6723-07,40,1,1,4.0,0,2,0,2,0,x
A6723-07,41,1,0,2.0,0,1,0,1,2,x
A6723-07,43,2,6,2.25,0,6,2,8,7,x
A6723-07,44,2,0,0.5,0,2,0,2,15,x
A6723-07,45,0,1,1.0,0,1,0,1,8,x
A6732-58,35,1,0,3.0,0,1,0,1,1,x
A6732-58,36,1,0,1.0,0,0,1,1,11,x
A6732-58,37,0,1,3.0,0,1,0,1,6,x
A6732-58,38,2,2,2.0,1,3,0,4,10,x
A6732-58,39,0,1,4.0,1,0,0,1,18,x
A6732-58,40,1,0,1.0,0,0,1,1,8,x
A6732-58,42,0,1,2.0,0,0,1,1,16,x
A6732-58,49,1,0,5.0,0,1,0,1,1,x
A6732-22,35,1,1,5.5,0,2,0,2,8,x
A6732-22,36,2,6,3.625,1,5,2,8,31,x
A6732-22,37,7,3,3.4,2,6,2,10,65,x
A6732-22,38,7,3,2.7,2,6,2,10,50,x
A6732-22,39,3,8,2.6363636363636362,0,6,5,11,69,x
A6732-22,40,5,6,4.090909090909091,0,9,1,11,57,x
A6732-22,41,5,7,1.3333333333333333,0,8,4,12,42,x
A6732-22,42,0,2,1.0,0,0,2,2,24,x
A6732-22,43,3,4,3.857142857142857,1,5,1,7,31,x
A6732-22,44,1,1,4.5,1,0,1,2,15,x
A6732-22,45,1,3,4.75,0,3,1,4,15,x
A6732-22,46,1,1,1.0,0,1,1,2,6,x
A6732-23,33,1,0,2.0,0,1,0,1,4,x
A6732-23,36,1,0,2.0,0,1,0,1,5,x
A6732-23,37,1,0,3.0,0,1,0,1,21,x
A6732-23,38,2,2,2.0,0,3,1,4,23,x
A6732-23,39,5,3,2.875,1,4,3,8,28,x
A6732-23,40,8,4,1.8333333333333333,1,7,3,12,31,x
A6732-23,41,3,4,3.7142857142857144,0,3,4,7,42,x
A6732-23,42,4,2,1.0,0,3,3,6,43,x
A6732-23,43,2,4,0.3333333333333333,1,4,1,6,19,x
A6732-23,50,0,1,2.0,0,0,1,1,0,x
A6732-20,34,1,0,4.0,0,1,0,1,3,x
A6732-20,35,2,0,3.5,0,0,2,2,8,x
A6732-20,36,6,1,3.857142857142857,0,3,4,7,30,x
A6732-20,37,4,12,2.8125,0,11,5,16,42,x
A6732-20,38,2,5,2.2857142857142856,0,3,4,7,47,x
A6732-20,39,9,6,2.4,1,9,5,15,50,x
A6732-20,40,9,2,3.3636363636363638,0,8,3,11,35,x
A6732-20,41,0,1,1.0,0,1,0,1,41,x
A6732-20,42,0,4,2.75,0,2,2,4,18,x
A6732-20,43,0,3,2.0,0,2,1,3,23,x
A6732-20,44,0,1,1.0,0,1,0,1,10,x
A6732-20,45,0,1,5.0,0,0,1,1,9,x
