level2,neighbors
A6733-31,"A6733-16,A6733-27,A6733-36,A6733-28,A6733-34,A6733-32,A6733-30,"
A6734-08,"A6734-02,A6734-16,A6734-10,A6734-04,A6734-13,A6734-23,"
A6734-09,"A6734-03,A6734-12,A6734-11,A6734-18,A6734-05,"
A6734-02,"A6734-08,A6734-01,A6734-06,A6734-10,A6734-13,"
A6734-03,"A6734-09,A6734-11,A6731-29,A6734-05,"
A6734-01,"A6734-02,A6734-06,A6734-10,A6734-05,"
A6734-06,"A6734-02,A6734-14,A6734-01,A6734-13,A6734-05,"
A6734-07,"A6734-15,A6734-17,A6734-16,A6734-10,A6734-04,"
A6734-04,"A6734-08,A6734-16,A6734-07,A6734-10,"
A6734-05,"A6734-09,A6734-14,A6734-01,A6734-06,A6734-10,A6734-12,A6734-03,"
A6731-09,"A6731-12,A6731-04,A6731-10,A6731-11,"
A6731-08,"A6731-07,A6731-06,A6731-15,"
A6731-05,"A6735-44,A6731-10,A6731-06,A6731-01,A6731-03,A6731-15,A6731-25,A6720-04,A6718-02,A6720-12,A6731-04,A6731-02,A6731-29,"
A6731-04,"A6731-09,A6731-14,A6731-05,A6731-13,A6731-10,A6731-11,A6731-03,A6731-22,"
A6731-07,"A6731-03,A6731-06,A6731-08,A6731-14,A6731-15,"
A6731-06,"A6731-05,A6731-07,A6731-08,A6731-03,A6731-15,"
A6731-01,"A6731-05,A6720-04,"
A6731-03,"A6731-05,A6731-04,A6731-07,A6731-06,A6731-14,"
A6731-02,"A6731-05,A6720-04,"
A6701-08,"A6701-06,A6701-10,A6701-15,A6701-03,A6701-14,"
A6701-09,"A6701-13,A6701-12,A6701-07,A6701-02,A6701-25,A6701-01,"
A6701-06,"A6701-05,A6701-15,A6701-03,A6701-08,"
A6701-07,"A6701-11,A6701-13,A6701-17,A6701-09,A6701-18,A6701-04,A6701-16,A6701-01,"
A6701-04,"A6701-11,A6701-07,A6701-01,A6701-03,A6701-10,"
A6701-05,"A6701-15,A6701-06,A6701-23,A6701-03,A6701-26,A6701-01,A6705-11,A6705-10,A6705-09,"
A6701-02,"A6702-02,A6702-06,A6701-09,A6702-09,A6702-04,A6701-24,A6701-25,A6701-01,A6705-07,"
A6701-03,"A6701-10,A6701-08,A6701-06,A6701-04,A6701-05,A6701-01,"
A6701-01,"A6701-09,A6701-07,A6701-04,A6701-05,A6701-02,A6701-03,A6705-07,A6705-09,"
A6726-01,"A6718-03,A6723-09,A6722-04,A6725-03,A6726-02,"
A6733-40,"A6733-38,A6733-44,A6733-42,A6733-41,A6733-39,"
A6731-70,"A6731-61,A6731-67,A6731-66,A6731-72,A6731-64,"
A6731-71,"A6727-02,A6727-01,A6731-69,A6731-68,A6731-57,A6731-62,A6728-02,A6731-65,"
A6731-72,"A6731-70,A6732-08,A6731-60,A6731-67,A6731-65,"
A6702-10,"A6701-28,A6702-11,A6702-07,A6702-09,A6702-08,A6713-01,A6713-02,"
A6702-11,"A6702-10,A6701-28,A6702-12,A6713-04,A6713-03,A6713-02,"
A6702-12,"A6701-28,A6702-11,A6702-13,A6701-26,A6713-04,A6713-10,A6713-03,A6708-04,"
A6702-13,"A6708-04,A6702-12,A6701-26,A6708-02,"
A6712-20,"A6714-08,A6712-17,A6712-16,A6712-19,A6712-18,A6714-04,A6715-07,A6715-05,"
A6719-01,"A6719-03,A6719-02,A6719-07,A6719-05,A6719-04,A6707-14,"
A6735-18,"A6735-23,A6735-31,A6735-14,A6735-15,A6735-13,"
A6722-01,"A6711-03,A6711-04,A6719-02,A6719-15,A6719-11,A6722-03,A6722-02,A6722-04,"
A6722-03,"A6722-01,A6720-05,A6722-02,A6722-04,"
A6722-02,"A6722-01,A6719-11,A6722-03,A6720-05,A6719-15,"
A6722-04,"A6711-03,A6711-04,A6718-01,A6718-03,A6720-05,A6726-01,A6722-01,A6722-03,A6723-09,"
A6705-02,"A6705-08,A6705-01,A6705-06,A6705-09,"
A6705-03,"A6703-04,A6703-07,A6705-08,A6705-01,A6703-02,"
A6705-01,"A6705-02,A6705-03,A6705-08,A6703-02,"
A6705-06,"A6705-02,A6705-09,A6705-07,A6705-04,A6705-05,"
A6705-07,"A6702-02,A6702-01,A6701-02,A6701-01,A6705-06,A6705-05,A6705-09,"
A6705-04,"A6702-01,A6705-06,A6705-05,"
A6705-05,"A6702-01,A6705-06,A6705-07,A6705-04,"
A6705-08,"A6703-07,A6705-02,A6705-03,A6705-01,A6705-11,A6706-02,A6705-09,A6706-04,A6705-10,"
A6705-09,"A6701-05,A6701-01,A6705-02,A6705-06,A6705-10,A6705-08,A6705-07,"
A6736-22,"A6736-18,A6736-15,A6736-23,A6736-20,"
A6736-23,"A6736-18,A6736-22,A6736-16,A6736-20,A6736-21,A6736-19,A6736-06,A6733-36,A6733-16,A6736-05,"
A6736-20,"A6736-12,A6736-22,A6736-23,A6736-15,A6736-21,"
A6736-21,"A6736-12,A6737-18,A6736-23,A6736-20,A6733-01,A6733-16,"
A6732-40,"A6737-27,A6732-45,A6732-48,A6732-37,A6732-30,A6733-12,A6733-15,"
A6732-41,"A6732-34,A6727-04,A6732-24,A6732-33,"
A6732-42,"A6732-35,A6732-43,A6732-44,A6732-50,"
A6732-35,"A6732-42,A6732-43,A6732-44,A6732-34,A6732-32,A6732-28,"
A6732-34,"A6732-41,A6732-43,A6727-04,A6732-35,A6732-23,A6732-24,A6732-28,"
A6732-37,"A6732-40,A6732-31,A6732-39,A6732-45,A6732-30,"
A6732-36,"A6732-44,A6732-46,A6732-31,A6732-29,A6732-39,A6732-38,"
A6732-31,"A6732-45,A6732-20,A6732-22,A6732-37,A6732-36,A6732-30,A6732-25,A6732-29,A6732-39,"
A6732-30,"A6732-40,A6737-24,A6737-27,A6737-23,A6732-37,A6732-21,A6732-31,A6732-25,A6733-12,"
A6732-33,"A6732-17,A6732-41,A6727-03,A6732-24,"
A6732-32,"A6732-44,A6732-35,A6732-26,A6732-27,A6732-28,A6732-29,A6732-38,"
A6732-39,"A6732-45,A6732-46,A6732-47,A6732-37,A6732-36,A6732-31,"
A6732-38,"A6732-36,A6732-44,A6732-32,A6732-29,"
A6710-01,"A6710-04,A6710-02,A6710-03,A6709-02,A6709-01,A6708-09,"
A6710-02,"A6710-06,A6710-01,A6710-03,A6710-08,A6709-02,A6709-08,"
A6732-47,"A6732-51,A6732-45,A6732-55,A6732-49,A6732-46,A6732-39,"
A6709-06,"A6709-07,A6709-05,A6709-02,A6709-03,A6709-08,A6709-09,"
A6709-07,"A6709-06,A6709-04,A6709-03,A6709-08,A6709-09,"
A6709-04,"A6709-07,A6709-03,A6709-09,"
A6709-05,"A6709-06,A6709-02,A6709-03,A6709-08,"
A6709-02,"A6704-09,A6710-01,A6710-02,A6709-06,A6709-05,A6709-03,A6709-01,A6704-04,A6709-08,A6709-09,"
A6709-03,"A6709-06,A6709-07,A6709-04,A6709-05,A6709-02,A6709-09,"
A6709-01,"A6710-01,A6704-08,A6708-09,A6704-07,A6709-02,A6704-04,A6708-03,"
A6709-08,"A6710-06,A6710-02,A6709-06,A6709-07,A6709-05,A6709-02,A6709-09,"
A6709-09,"A6709-06,A6710-06,A6704-10,A6711-01,A6724-01,A6704-09,A6709-07,A6709-04,A6706-10,A6706-09,A6709-02,A6709-08,A6709-03,"
A6719-09,"A6719-12,A6719-14,A6719-05,"
A6719-08,"A6719-10,A6719-11,A6719-14,A6719-06,"
A6719-03,"A6719-01,A6719-06,A6719-05,A6719-04,"
A6719-02,"A6711-03,A6710-06,A6719-11,A6719-01,A6710-08,A6710-09,A6719-04,A6722-01,A6707-14,"
A6714-11,"A6715-06,A6721-11,A6714-10,A6735-05,"
A6714-10,"A6714-08,A6714-09,A6721-03,A6714-02,A6714-03,A6707-16,A6714-06,A6707-14,A6721-11,A6715-06,A6714-07,A6714-11,A6715-07,"
A6719-07,"A6721-01,A6719-01,A6719-14,A6719-05,A6707-14,"
A6719-06,"A6719-08,A6719-10,A6719-11,A6719-05,A6719-04,A6719-03,"
A6719-05,"A6719-09,A6719-10,A6719-07,A6719-01,A6719-14,A6719-06,A6719-03,A6719-12,"
A6719-04,"A6719-03,A6719-02,A6719-01,A6719-06,A6719-11,"
A6731-34,"A6731-36,A6731-43,A6731-22,A6731-65,A6731-31,"
A6731-35,"A6731-40,A6731-26,A6731-42,A6731-22,A6731-32,A6731-44,"
A6731-36,"A6731-34,A6731-31,A6731-65,"
